key,museum,graph_name,graph_id,object_number_node_name,Object Number Type,object_number_nodegroup_id,object_number_nodeid,image_manifest_node_name,DAMS Manifest Type,image_manifest_nodegroup_id,image_manifest_nodeid
mpm_Iconografie,mpm,Iconografie,4a8edc64-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,4a8f1e72-ac0f-11ec-b19f-9cf387da2c40,4a8f955a-ac0f-11ec-b19f-9cf387da2c40,,,,
mpm_Iconografie_material,mpm,Iconografie_material,864d0758-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,864d1e8c-ac0f-11ec-b19f-9cf387da2c40,864e2098-ac0f-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,293cb392-e534-11ed-8d73-00163e71351b,293cae92-e534-11ed-8d73-00163e71351b
mpm_Foto,mpm,Foto,397dc07a-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,397e08be-ac0f-11ec-b19f-9cf387da2c40,397e8ca8-ac0f-11ec-b19f-9cf387da2c40,,,,
mpm_Foto_material,mpm,Foto_material,758070f4-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,75812e54-ac0f-11ec-b19f-9cf387da2c40,75820d2e-ac0f-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,cbaba800-e533-11ed-9873-00163e71351b,cbab85dc-e533-11ed-9873-00163e71351b
mpm_Brief,mpm,Brief,2f62301a-a5fe-11ec-b19f-9cf387da2c40,Object Number,object identifier,2f6286f0-a5fe-11ec-b19f-9cf387da2c40,2f6379a2-a5fe-11ec-b19f-9cf387da2c40,,,,
mpm_Brief_material,mpm,Brief_material,d1dc3156-a5fe-11ec-b19f-9cf387da2c40,Object Number,object identifier,d1dc4bdc-a5fe-11ec-b19f-9cf387da2c40,d1ddc232-a5fe-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,b66fd9d4-e533-11ed-b699-00163e71351b,b66fb828-e533-11ed-b699-00163e71351b
mpm_Tekstdrager,mpm,Tekstdrager,26879842-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,2687fb70-ac0f-11ec-b19f-9cf387da2c40,26887e06-ac0f-11ec-b19f-9cf387da2c40,,,,
mpm_Tekstdrager_material,mpm,Tekstdrager_material,6473fe5c-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,647435f2-ac0f-11ec-b19f-9cf387da2c40,6475465e-ac0f-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,6bd50df8-e534-11ed-9873-00163e71351b,6bd50aa6-e534-11ed-9873-00163e71351b
rub_Iconografie,rub,Iconografie,4a8edc64-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,4a8f1e72-ac0f-11ec-b19f-9cf387da2c40,4a8f955a-ac0f-11ec-b19f-9cf387da2c40,,,,
rub_Iconografie_material,rub,Iconografie_material,864d0758-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,864d1e8c-ac0f-11ec-b19f-9cf387da2c40,864e2098-ac0f-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,2d6bafd2-e538-11ed-8771-00163e71351b,2d6b8d72-e538-11ed-8771-00163e71351b
rub_Foto,rub,Foto,397dc07a-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,397e08be-ac0f-11ec-b19f-9cf387da2c40,397e8ca8-ac0f-11ec-b19f-9cf387da2c40,,,,
rub_Foto_material,rub,Foto_material,758070f4-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,75812e54-ac0f-11ec-b19f-9cf387da2c40,75820d2e-ac0f-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,dc080a28-e537-11ed-94ee-00163e71351b,dc080474-e537-11ed-94ee-00163e71351b
rub_Brief,rub,Brief,2f62301a-a5fe-11ec-b19f-9cf387da2c40,Object Number,object identifier,2f6286f0-a5fe-11ec-b19f-9cf387da2c40,2f6379a2-a5fe-11ec-b19f-9cf387da2c40,,,,
rub_Brief_material,rub,Brief_material,d1dc3156-a5fe-11ec-b19f-9cf387da2c40,Object Number,object identifier,d1dc4bdc-a5fe-11ec-b19f-9cf387da2c40,d1ddc232-a5fe-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,3e942c4a-e537-11ed-94ee-00163e71351b,3e942772-e537-11ed-94ee-00163e71351b
rub_Tekstdrager,rub,Tekstdrager,26879842-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,2687fb70-ac0f-11ec-b19f-9cf387da2c40,26887e06-ac0f-11ec-b19f-9cf387da2c40,,,,
rub_Tekstdrager_material,rub,Tekstdrager_material,6473fe5c-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,647435f2-ac0f-11ec-b19f-9cf387da2c40,6475465e-ac0f-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,760c9742-e538-11ed-94ee-00163e71351b,760c9256-e538-11ed-94ee-00163e71351b
lh_Affiche,lh,Affiche,272d973a-af87-11ec-b19f-9cf387da2c40,Object Number,object identifier,272dd038-af87-11ec-b19f-9cf387da2c40,272e71c8-af87-11ec-b19f-9cf387da2c40,,,,
lh_Affiche_material,lh,Affiche_material,658f938e-af87-11ec-b19f-9cf387da2c40,Object Number,object identifier,658fbeea-af87-11ec-b19f-9cf387da2c40,6590d794-af87-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,bd6a1460-e53e-11ed-b522-96a6d245525a,bd6a12a8-e53e-11ed-b522-96a6d245525a
lh_Iconografie,lh,Iconografie,4a8edc64-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,4a8f1e72-ac0f-11ec-b19f-9cf387da2c40,4a8f955a-ac0f-11ec-b19f-9cf387da2c40,,,,
lh_Iconografie_material,lh,Iconografie_material,864d0758-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,864d1e8c-ac0f-11ec-b19f-9cf387da2c40,864e2098-ac0f-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,4fec8872-e53f-11ed-b522-96a6d245525a,4fec8872-e53f-11ed-b522-96a6d245525a
lh_Foto,lh,Foto,397dc07a-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,397e08be-ac0f-11ec-b19f-9cf387da2c40,397e8ca8-ac0f-11ec-b19f-9cf387da2c40,,,,
lh_Foto_material,lh,Foto_material,758070f4-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,75812e54-ac0f-11ec-b19f-9cf387da2c40,75820d2e-ac0f-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,2cd004e0-e53f-11ed-b522-96a6d245525a,2cd004e0-e53f-11ed-b522-96a6d245525a
lh_Brief,lh,Brief,2f62301a-a5fe-11ec-b19f-9cf387da2c40,Object Number,object identifier,2f6286f0-a5fe-11ec-b19f-9cf387da2c40,2f6379a2-a5fe-11ec-b19f-9cf387da2c40,,,,
lh_Brief_material,lh,Brief_material,d1dc3156-a5fe-11ec-b19f-9cf387da2c40,Object Number,object identifier,d1dc4bdc-a5fe-11ec-b19f-9cf387da2c40,d1ddc232-a5fe-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,02571136-e53f-11ed-b522-96a6d245525a,02571136-e53f-11ed-b522-96a6d245525a
lh_Tekstdrager,lh,Tekstdrager,26879842-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,2687fb70-ac0f-11ec-b19f-9cf387da2c40,26887e06-ac0f-11ec-b19f-9cf387da2c40,,,,
lh_Tekstdrager_material,lh,Tekstdrager_material,6473fe5c-ac0f-11ec-b19f-9cf387da2c40,Object Number,object identifier,647435f2-ac0f-11ec-b19f-9cf387da2c40,6475465e-ac0f-11ec-b19f-9cf387da2c40,Image Manifest,DAMS Manifest,97ae8688-e53f-11ed-b522-96a6d245525a,97ae8688-e53f-11ed-b522-96a6d245525a
