ResourceID,card,order,Transactions
003cbcab-20e6-5677-a93d-c0e024fab06f,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""70b28d6c-795b-4e7f-8051-2fc05d5a7678"", ""ontologyProperty"": """", ""resourceXresourceId"": ""976dd690-21fc-4f14-b770-0478d6d56324"", ""inverseOntologyProperty"": """"}]"
0080ab7f-8e6d-5f07-8ad8-19fa53513765,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""63f9314d-35ae-49f8-b775-0005d93b3dd8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""222dd96f-52d7-455a-8ba0-422378440141"", ""inverseOntologyProperty"": """"}]"
00965f57-9509-512d-a935-131a0d7c260f,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""38e15995-2450-4e93-a195-a9e065b81bbd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""667ba19b-33a2-488b-86f4-0c1900375495"", ""inverseOntologyProperty"": """"}]"
00e2d85a-e51c-502e-b7b4-17f7a66b9b01,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""8834b8f5-41d4-4a8e-ae85-d9f1454643ef"", ""ontologyProperty"": """", ""resourceXresourceId"": ""27010588-30ec-4657-bf19-0d32c4eede15"", ""inverseOntologyProperty"": """"}]"
00eefe84-d8db-55ef-87a0-0fdf632d6d3b,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""ca19a491-22a2-4204-a679-87fcd574c6ba"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e134fff4-0012-4b29-bdac-274c7bcae358"", ""inverseOntologyProperty"": """"}]"
00f441cc-a274-59ff-93e6-ab79435a4af4,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""2813e859-0a7a-40c2-8937-280c9e1b074a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8522334d-d91a-49cf-82a2-1394dcb2a180"", ""inverseOntologyProperty"": """"}]"
0131a270-45ee-5a0d-a6d0-26bbfefb3adf,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""5f922681-d3c1-491a-8f59-60dc3896c5fd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""058d0131-be35-4278-9eea-854c3fc58f6f"", ""inverseOntologyProperty"": """"}]"
020cd0d6-ebd9-5dd3-9095-5e68e992060e,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""8466ffd4-bcf5-45a9-ba35-5f4a4b25c4dc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""76ed0e96-f317-41b5-8f8c-c44a06694be1"", ""inverseOntologyProperty"": """"}]"
0271fa34-0f33-5df4-b297-36053f62a2cc,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""e1f9a9b7-5a7c-4277-8f93-b1fed1028cef"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2e100c30-92b2-42ed-be75-211475c4cc1f"", ""inverseOntologyProperty"": """"}]"
02dd1a27-db0f-5409-9cae-23e602b7d7c9,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""ff24b5a8-f170-483f-aa7a-185fbacaabf7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""95941aa6-33a4-4987-837d-f71b7d8959dd"", ""inverseOntologyProperty"": """"}]"
03226fac-6a4d-5e94-af19-db903ae55726,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""24956b00-b525-4dbc-a234-007def50286a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""039044a9-64c0-41ba-9453-ab37ce304069"", ""inverseOntologyProperty"": """"}]"
036f83f8-0162-5f9b-8862-dc8551fac6b5,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""d8fea655-0db8-4988-b384-f3356719d13e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e0eb99c5-5ab1-4c22-a039-3ed24e0bea5a"", ""inverseOntologyProperty"": """"}]"
0391eea6-f7de-5b3a-963f-34f80ee0e3d5,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""e3f6c821-7b31-4afd-a189-c465928f3c57"", ""ontologyProperty"": """", ""resourceXresourceId"": ""62f90ff7-6c0e-4c31-aae9-15ed951ccd78"", ""inverseOntologyProperty"": """"}]"
03d7cb42-b8f4-5b01-bf8b-ff7ace358895,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""c9072c56-7009-47b2-82eb-1d8b280e12ae"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b6e02c80-4968-410a-b34c-6a02d5a871c6"", ""inverseOntologyProperty"": """"}]"
03e56b8d-3c04-59c4-877f-bd867540a0b4,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""96e7e919-9150-411e-a5d8-119f9931ad3b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4361680d-e544-4d7a-ac19-99b52f592917"", ""inverseOntologyProperty"": """"}]"
0466a457-275b-505c-b610-8eebd855936b,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""3d65abbf-8972-4ca5-8483-3938d44361f0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3d8af2f6-f010-4061-88c3-7783bad862b5"", ""inverseOntologyProperty"": """"}]"
0479f27a-54d8-5bbf-8e71-dc71c577706d,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""295836a3-f6c8-48d8-b6a9-ea8caec81abe"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7e58a00e-e028-4755-8c8e-452142e63540"", ""inverseOntologyProperty"": """"}]"
04bd8ebf-6e8f-58bb-882f-99aafa0c9193,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""fcd9eb9f-beab-440d-b575-d04a161f271d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""80b42285-fcf4-41d9-9c31-3f8f3c17c84c"", ""inverseOntologyProperty"": """"}]"
0535cd5a-8508-5633-9ed8-fcb7734e5423,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""e7dd6123-c0ad-43c9-89f0-c8fb2b895a0e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b6f7ea91-2233-48ea-a37c-4065e5aa4e86"", ""inverseOntologyProperty"": """"}]"
053eaefd-b76e-5d9c-ba1f-1de30dc50179,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""137e9d43-4d2d-4714-ae9c-cb11620b91cd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b29a8503-7661-46f7-a8f6-8f61b0a77e5f"", ""inverseOntologyProperty"": """"}]"
05c05da3-4bc9-5343-88c1-6a001c71f309,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""3b00865c-2dae-4146-a863-191737a18e01"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9f4ef572-7b10-41de-a9d8-cb3a75277a3f"", ""inverseOntologyProperty"": """"}]"
05c94a6e-f242-5db2-abe6-fc5c3ac1a80c,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""2066ed8f-cf0f-4f26-bc22-ad7a9fb7b2e6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""360a3efe-d638-46ad-a55d-f7ed8f652608"", ""inverseOntologyProperty"": """"}]"
05d2eef8-599a-5537-b6c2-1a70aa44c4f5,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""9d6390bf-91a2-46aa-83eb-15bfb8aef5d5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1cef1030-88f1-448b-bba0-217f669a5654"", ""inverseOntologyProperty"": """"}]"
0602794f-ee68-5f90-b43d-82483714811d,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""cdcc3b83-5b60-4c58-8df7-b3e3095eb31b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""832f67f2-8dab-4c4d-a104-e5fd31f44b4e"", ""inverseOntologyProperty"": """"}]"
0617c448-410e-55ad-a4ec-9ad7addd5681,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""197c5103-6387-49fa-9b36-2d7c2b3d788c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""78449dbd-2e53-4b85-a7e5-5de922d78776"", ""inverseOntologyProperty"": """"}]"
062b0b77-2552-5af0-9b45-d3db74503501,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""15d85474-3da8-490a-8d82-02868d4af1c7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2007f74a-7f11-4990-98ac-eea280982881"", ""inverseOntologyProperty"": """"}]"
075d42ae-e647-5472-9291-a2f1d0b7494e,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""cc498ab1-c681-4f2f-adbb-87f6b4362d41"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8599fd32-7b10-44f9-95df-8ce904f74b7f"", ""inverseOntologyProperty"": """"}]"
077e8cbd-2036-5dd8-9df7-4b3e27fcc620,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""90cf369c-1013-4584-893f-b666722e9898"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0ca71bea-232a-4679-bb9e-eeaca92b8664"", ""inverseOntologyProperty"": """"}]"
078664be-abf9-57e6-87a7-8aec3db15b6c,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""2d1f7738-8256-48e5-92f4-b761a6343c1b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e7813df3-a296-44ba-b32f-125bbb320104"", ""inverseOntologyProperty"": """"}]"
079a71a1-8973-5c84-bfa8-9edf92be76b4,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""029b0774-fbca-4ef8-ad2b-6d7738dd9d22"", ""ontologyProperty"": """", ""resourceXresourceId"": ""237dd617-59e1-4d9b-a6f9-fe3bfaa75184"", ""inverseOntologyProperty"": """"}]"
07f3cba8-39d3-5cdf-bc18-f40c8e852d18,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""9e7e3f52-fd4f-4de1-982f-f87c3e84b18c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""18a02dc4-0484-45a3-94aa-a7c2a91b13e2"", ""inverseOntologyProperty"": """"}]"
07f8f0f5-88cc-500f-9088-1f42f80d0702,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""85ceef1a-da25-4d4c-b72e-f4c2975e7cb0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""746c193a-91f1-4482-86e9-3b281df5225e"", ""inverseOntologyProperty"": """"}]"
0858a9d6-21e1-5cd5-a238-55033bfccd9f,e73_ChangeHistoryRelations,1,"[{""resourceId"": ""4cc84438-75f7-47a1-9c02-9250c0c59daf"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f1f320b2-7058-467d-ab1f-f34ba01fb1c0"", ""inverseOntologyProperty"": """"}]"
