museum,model,type,graphid
mpm,Brief,Brief,2f62301a-a5fe-11ec-b19f-9cf387da2c40
mpm,Brief_material,Brief,d1dc3156-a5fe-11ec-b19f-9cf387da2c40
mpm,Foto,Foto,397dc07a-ac0f-11ec-b19f-9cf387da2c40
mpm,Foto_material,Foto,758070f4-ac0f-11ec-b19f-9cf387da2c40
mpm,Iconografie,Iconografie,4a8edc64-ac0f-11ec-b19f-9cf387da2c40
mpm,Iconografie_material,Iconografie,864d0758-ac0f-11ec-b19f-9cf387da2c40
mpm,Tekstdrager,Tekstdrager,26879842-ac0f-11ec-b19f-9cf387da2c40
mpm,Tekstdrager_material,Tekstdrager,6473fe5c-ac0f-11ec-b19f-9cf387da2c40
rub,Brief,Brief,2f62301a-a5fe-11ec-b19f-9cf387da2c40
rub,Brief_material,Brief,d1dc3156-a5fe-11ec-b19f-9cf387da2c40
rub,Foto,Foto,397dc07a-ac0f-11ec-b19f-9cf387da2c40
rub,Foto_material,Foto,758070f4-ac0f-11ec-b19f-9cf387da2c40
rub,Iconografie,Iconografie,4a8edc64-ac0f-11ec-b19f-9cf387da2c40
rub,Iconografie_material,Iconografie,864d0758-ac0f-11ec-b19f-9cf387da2c40
rub,Tekstdrager,Tekstdrager,26879842-ac0f-11ec-b19f-9cf387da2c40
rub,Tekstdrager_material,Tekstdrager,6473fe5c-ac0f-11ec-b19f-9cf387da2c40
mmb,Brief,Brief,2f62301a-a5fe-11ec-b19f-9cf387da2c40
mmb,Brief_material,Brief,d1dc3156-a5fe-11ec-b19f-9cf387da2c40
mmb,Iconografie,Iconografie,4a8edc64-ac0f-11ec-b19f-9cf387da2c40
mmb,Iconografie_material,Iconografie,864d0758-ac0f-11ec-b19f-9cf387da2c40
mmb,Tekstdrager,Tekstdrager,26879842-ac0f-11ec-b19f-9cf387da2c40
mmb,Tekstdrager_material,Tekstdrager,6473fe5c-ac0f-11ec-b19f-9cf387da2c40
lh,Object,Object,11bd6024-af87-11ec-b19f-9cf387da2c40
lh,Object_material,Object,52160284-af87-11ec-b19f-9cf387da2c40
lh,Iconografie,Iconografie,4a8edc64-ac0f-11ec-b19f-9cf387da2c40
lh,Iconografie_material,Iconografie,864d0758-ac0f-11ec-b19f-9cf387da2c40
lh,Tekstdrager,Tekstdrager,26879842-ac0f-11ec-b19f-9cf387da2c40
lh,Tekstdrager_material,Tekstdrager,6473fe5c-ac0f-11ec-b19f-9cf387da2c40
lh,Affiche,Affiche,272d973a-af87-11ec-b19f-9cf387da2c40
lh,Affiche_material,Affiche,658f938e-af87-11ec-b19f-9cf387da2c40
lh,Foto,Foto,397dc07a-ac0f-11ec-b19f-9cf387da2c40
lh,Foto_material,Foto,758070f4-ac0f-11ec-b19f-9cf387da2c40
lh,Brief,Brief,2f62301a-a5fe-11ec-b19f-9cf387da2c40
lh,Brief_material,Brief,d1dc3156-a5fe-11ec-b19f-9cf387da2c40
